bookmaker,market,team,side,line,odds,event_name,implied_prob,fair_prob_over,fair_prob_under,fair_prob,ev,flag,fair_prob_arsenal,fair_prob_brentford,fair_prob_aston villa,fair_prob_newcastle united,fair_prob_bournemouth,fair_prob_fulham,fair_prob_brighton and hove albion,fair_prob_crystal palace,fair_prob_chelsea,fair_prob_leicester city,fair_prob_liverpool,fair_prob_manchester city,fair_prob_manchester united,fair_prob_everton,fair_prob_nottingham forest,fair_prob_southampton,fair_prob_tottenham hotspur,fair_prob_west ham united,fair_prob_wolverhampton wanderers,sport
betPARX,totals,Under,under,1.5,2.4,Bayern München vs Internazionale Milano,0.4166666666666667,0.5479452054794521,0.452054794520548,0.452054794520548,0.08493150684931505,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
Fliff,totals,Under,under,1.5,2.4,Bayern München vs Internazionale Milano,0.4166666666666667,0.5479452054794521,0.452054794520548,0.452054794520548,0.08493150684931505,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
Bally Bet,totals,Under,under,1.5,2.4,Bayern München vs Internazionale Milano,0.4166666666666667,0.5479452054794521,0.452054794520548,0.452054794520548,0.08493150684931505,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
MyBookie.ag,spreads,Southampton,southampton,0.5,2.34,Southampton vs Aston Villa,0.4273504273504274,,,0.463302752293578,0.08412844036697242,🔥 VALUE,,,0.536697247706422,,,,,,,,,,,,,0.463302752293578,,,,soccer_epl
BetOnline.ag,spreads,Aston Villa,aston villa,-1.0,2.02,Southampton vs Aston Villa,0.49504950495049505,,,0.536697247706422,0.08412844036697242,🔥 VALUE,,,0.536697247706422,,,,,,,,,,,,,0.463302752293578,,,,soccer_epl
LowVig.ag,spreads,Aston Villa,aston villa,-1.0,2.02,Southampton vs Aston Villa,0.49504950495049505,,,0.536697247706422,0.08412844036697242,🔥 VALUE,,,0.536697247706422,,,,,,,,,,,,,0.463302752293578,,,,soccer_epl
BetUS,totals,Under,under,3.0,2.0,Paris Saint Germain vs Aston Villa,0.5,0.46031746031746024,0.5396825396825397,0.5396825396825397,0.0793650793650793,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_uefa_champs_league
Bovada,spreads,Brighton and Hove Albion,brighton and hove albion,0.0,1.98,Brentford vs Brighton and Hove Albion,0.5050505050505051,,,0.5448275862068966,0.07875862068965533,🔥 VALUE,,0.4551724137931034,,,,,0.5448275862068966,,,,,,,,,,,,,soccer_epl
MyBookie.ag,spreads,Brentford,brentford,-0.5,2.37,Brentford vs Brighton and Hove Albion,0.42194092827004215,,,0.4551724137931034,0.07875862068965511,🔥 VALUE,,0.4551724137931034,,,,,0.5448275862068966,,,,,,,,,,,,,soccer_epl
betPARX,totals,Over,over,3.5,2.33,Liverpool vs West Ham United,0.4291845493562232,0.4622425629290618,0.5377574370709383,0.4622425629290618,0.07702517162471412,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetRivers,totals,Over,over,3.5,2.33,Liverpool vs West Ham United,0.4291845493562232,0.4622425629290618,0.5377574370709383,0.4622425629290618,0.07702517162471412,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Bally Bet,totals,Over,over,3.5,2.33,Liverpool vs West Ham United,0.4291845493562232,0.4622425629290618,0.5377574370709383,0.4622425629290618,0.07702517162471412,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Bovada,totals,Under,under,3.0,2.0,Liverpool vs West Ham United,0.5,0.4622425629290618,0.5377574370709383,0.5377574370709383,0.07551487414187652,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Bovada,totals,Over,over,3.0,2.02,Newcastle United vs Manchester United,0.49504950495049505,0.5308924485125858,0.4691075514874142,0.5308924485125858,0.07240274599542329,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetUS,spreads,Brentford,brentford,1.0,1.95,Arsenal vs Brentford,0.5128205128205129,,,0.5465116279069767,0.06569767441860463,🔥 VALUE,0.4534883720930232,0.5465116279069767,,,,,,,,,,,,,,,,,,soccer_epl
MyBookie.ag,spreads,Arsenal,arsenal,-1.5,2.35,Arsenal vs Brentford,0.425531914893617,,,0.4534883720930232,0.06569767441860441,🔥 VALUE,0.4534883720930232,0.5465116279069767,,,,,,,,,,,,,,,,,,soccer_epl
LowVig.ag,spreads,Crystal Palace,crystal palace,1.0,2.0,Manchester City vs Crystal Palace,0.5,,,0.5327102803738317,0.06542056074766345,🔥 VALUE,,,,,,,,0.5327102803738317,,,,0.4672897196261682,,,,,,,,soccer_epl
BetOnline.ag,spreads,Crystal Palace,crystal palace,1.0,2.0,Manchester City vs Crystal Palace,0.5,,,0.5327102803738317,0.06542056074766345,🔥 VALUE,,,,,,,,0.5327102803738317,,,,0.4672897196261682,,,,,,,,soccer_epl
MyBookie.ag,spreads,Manchester City,manchester city,-1.5,2.28,Manchester City vs Crystal Palace,0.4385964912280702,,,0.4672897196261682,0.06542056074766345,🔥 VALUE,,,,,,,,0.5327102803738317,,,,0.4672897196261682,,,,,,,,soccer_epl
BetUS,totals,Under,under,3.0,1.98,Liverpool vs West Ham United,0.5050505050505051,0.4622425629290618,0.5377574370709383,0.5377574370709383,0.06475972540045771,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
BetAnySports,spreads,Aston Villa,aston villa,-1.0,1.98,Southampton vs Aston Villa,0.5050505050505051,,,0.536697247706422,0.06266055045871566,🔥 VALUE,,,0.536697247706422,,,,,,,,,,,,,0.463302752293578,,,,soccer_epl
Bovada,spreads,West Ham United,west ham united,-1.0,1.98,West Ham United vs Southampton,0.5050505050505051,,,0.5362997658079626,0.061873536299765775,🔥 VALUE,,,,,,,,,,,,,,,,0.4637002341920375,,0.5362997658079626,,soccer_epl
MyBookie.ag,spreads,Southampton,southampton,0.5,2.29,West Ham United vs Southampton,0.4366812227074236,,,0.4637002341920375,0.061873536299765775,🔥 VALUE,,,,,,,,,,,,,,,,0.4637002341920375,,0.5362997658079626,,soccer_epl
Wind Creek,totals,Under,under,2.5,2.25,Wolverhampton Wanderers vs Tottenham Hotspur,0.4444444444444444,0.5280898876404494,0.47191011235955055,0.47191011235955055,0.061797752808988804,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Fliff,spreads,Newcastle United,newcastle united,0.0,2.05,Aston Villa vs Newcastle United,0.48780487804878053,,,0.5176470588235295,0.06117647058823539,🔥 VALUE,,,0.48235294117647054,0.5176470588235295,,,,,,,,,,,,,,,,soccer_epl
Fliff,spreads,Newcastle United,newcastle united,-1.0,2.05,Newcastle United vs Manchester United,0.48780487804878053,,,0.5176470588235295,0.06117647058823539,🔥 VALUE,,,,0.5176470588235295,,,,,,,,,0.48235294117647054,,,,,,,soccer_epl
BetUS,spreads,Manchester United,manchester united,0.5,2.2,Newcastle United vs Manchester United,0.45454545454545453,,,0.48235294117647054,0.061176470588235166,🔥 VALUE,,,,0.5176470588235295,,,,,,,,,0.48235294117647054,,,,,,,soccer_epl
MyBookie.ag,spreads,Aston Villa,aston villa,-0.5,2.2,Aston Villa vs Newcastle United,0.45454545454545453,,,0.48235294117647054,0.061176470588235166,🔥 VALUE,,,0.48235294117647054,0.5176470588235295,,,,,,,,,,,,,,,,soccer_epl
LowVig.ag,spreads,Brentford,brentford,1.0,1.94,Arsenal vs Brentford,0.5154639175257733,,,0.5465116279069767,0.060232558139534875,🔥 VALUE,0.4534883720930232,0.5465116279069767,,,,,,,,,,,,,,,,,,soccer_epl
BetOnline.ag,spreads,Brentford,brentford,1.0,1.94,Arsenal vs Brentford,0.5154639175257733,,,0.5465116279069767,0.060232558139534875,🔥 VALUE,0.4534883720930232,0.5465116279069767,,,,,,,,,,,,,,,,,,soccer_epl
Wind Creek,totals,Under,under,2.5,2.25,Newcastle United vs Manchester United,0.4444444444444444,0.5308924485125858,0.4691075514874142,0.4691075514874142,0.05549199084668199,🔥 VALUE,,,,,,,,,,,,,,,,,,,,soccer_epl
Bovada,spreads,Brentford,brentford,1.0,1.93,Arsenal vs Brentford,0.5181347150259068,,,0.5465116279069767,0.054767441860465116,🔥 VALUE,0.4534883720930232,0.5465116279069767,,,,,,,,,,,,,,,,,,soccer_epl
Bovada,spreads,Crystal Palace,crystal palace,1.0,1.98,Manchester City vs Crystal Palace,0.5050505050505051,,,0.5327102803738317,0.054766355140186906,🔥 VALUE,,,,,,,,0.5327102803738317,,,,0.4672897196261682,,,,,,,,soccer_epl
Fliff,spreads,Fulham,fulham,0.0,1.95,Fulham vs Chelsea,0.5128205128205129,,,0.537914691943128,0.04893364928909971,,,,,,,0.537914691943128,,,0.462085308056872,,,,,,,,,,,soccer_epl
